,time_stats.all_reduce.min,time_stats.all_reduce.max,time_stats.all_reduce.mean,time_stats.all_reduce.median,time_stats.all_reduce.std,rank,num_workers,size,collective,devices_per_node,max_devices_per_node
52,0.036000000000000004,0.039,0.037000000000000005,0.036000000000000004,0.001414213562373093,0,8,428032,all_reduce,8,8
53,0.02,0.044,0.028,0.02,0.011313708498984758,0,8,436224,all_reduce,8,8
54,0.035,0.04,0.038000000000000006,0.039,0.0021602468994692853,0,8,444416,all_reduce,8,8
55,0.036000000000000004,0.048,0.04133333333333333,0.04,0.004988876515698588,0,8,452608,all_reduce,8,8
56,0.037,0.039,0.038,0.038,0.0008164965809277268,0,8,460800,all_reduce,8,8
57,0.037,0.048,0.04133333333333333,0.039,0.004784233364802442,0,8,468992,all_reduce,8,8
58,0.02,0.033,0.024333333333333335,0.02,0.006128258770283413,0,8,477184,all_reduce,8,8
59,0.037,0.041,0.03866666666666666,0.038,0.0016996731711975965,0,8,485376,all_reduce,8,8
60,0.036000000000000004,0.039,0.037333333333333336,0.037,0.0012472191289246456,0,8,493568,all_reduce,8,8
61,0.029,0.029,0.029,0.029,0.0,0,8,501760,all_reduce,8,8
62,0.028,0.029,0.02866666666666667,0.029,0.00047140452079103207,0,8,509952,all_reduce,8,8
63,0.029,0.03,0.029333333333333333,0.029,0.0004714045207910305,0,8,518144,all_reduce,8,8
64,0.027,0.028,0.027333333333333334,0.027,0.00047140452079103207,0,8,526336,all_reduce,8,8
65,0.026000000000000002,0.027,0.02666666666666667,0.027,0.00047140452079103045,0,8,534528,all_reduce,8,8
66,0.027,0.028,0.02766666666666667,0.028,0.00047140452079103207,0,8,542720,all_reduce,8,8
67,0.026000000000000002,0.028,0.027333333333333334,0.028,0.0009428090415820625,0,8,550912,all_reduce,8,8
68,0.027,0.028,0.027333333333333334,0.027,0.00047140452079103207,0,8,559104,all_reduce,8,8
69,0.028,0.029,0.02866666666666667,0.029,0.00047140452079103207,0,8,567296,all_reduce,8,8
70,0.028,0.029,0.028333333333333335,0.028,0.00047140452079103207,0,8,575488,all_reduce,8,8
71,0.029,0.029,0.029,0.029,0.0,0,8,583680,all_reduce,8,8
72,0.027,0.031,0.028666666666666663,0.028,0.0016996731711975948,0,8,591872,all_reduce,8,8
73,0.028,0.03,0.028999999999999998,0.029,0.0008164965809277254,0,8,600064,all_reduce,8,8
74,0.027,0.029,0.028,0.028,0.0008164965809277268,0,8,608256,all_reduce,8,8
75,0.027,0.028,0.02766666666666667,0.028,0.00047140452079103207,0,8,616448,all_reduce,8,8
76,0.027,0.027,0.027,0.027,0.0,0,8,624640,all_reduce,8,8
77,0.028,0.028,0.028,0.028,0.0,0,8,632832,all_reduce,8,8
78,0.028,0.03,0.028999999999999998,0.029,0.0008164965809277254,0,8,641024,all_reduce,8,8
79,0.028,0.028,0.028,0.028,0.0,0,8,649216,all_reduce,8,8
80,0.028,0.029,0.028333333333333335,0.028,0.00047140452079103207,0,8,657408,all_reduce,8,8
81,0.028,0.029,0.028333333333333335,0.028,0.00047140452079103207,0,8,665600,all_reduce,8,8
82,0.029,0.029,0.029,0.029,0.0,0,8,673792,all_reduce,8,8
83,0.027,0.029,0.028,0.028,0.0008164965809277268,0,8,681984,all_reduce,8,8
84,0.028,0.029,0.028333333333333335,0.028,0.00047140452079103207,0,8,690176,all_reduce,8,8
85,0.028,0.029,0.02866666666666667,0.029,0.00047140452079103207,0,8,698368,all_reduce,8,8
86,0.029,0.029,0.029,0.029,0.0,0,8,706560,all_reduce,8,8
87,0.028,0.029,0.028333333333333335,0.028,0.00047140452079103207,0,8,714752,all_reduce,8,8
88,0.028,0.028,0.028,0.028,0.0,0,8,722944,all_reduce,8,8
89,0.028,0.029,0.028333333333333335,0.028,0.00047140452079103207,0,8,731136,all_reduce,8,8
90,0.027,0.028,0.027333333333333334,0.027,0.00047140452079103207,0,8,739328,all_reduce,8,8
91,0.028,0.03,0.028999999999999998,0.029,0.0008164965809277254,0,8,747520,all_reduce,8,8
92,0.029,0.034,0.030666666666666665,0.029,0.002357022603955159,0,8,755712,all_reduce,8,8
93,0.029,0.031,0.029666666666666664,0.029,0.0009428090415820626,0,8,763904,all_reduce,8,8
94,0.029,0.03,0.029333333333333333,0.029,0.0004714045207910305,0,8,772096,all_reduce,8,8
95,0.029,0.029,0.029,0.029,0.0,0,8,780288,all_reduce,8,8
96,0.028,0.03,0.028666666666666663,0.028,0.0009428090415820626,0,8,788480,all_reduce,8,8
97,0.03,0.031,0.030333333333333334,0.03,0.00047140452079103207,0,8,796672,all_reduce,8,8
98,0.028,0.031,0.029666666666666664,0.03,0.0012472191289246467,0,8,804864,all_reduce,8,8
99,0.029,0.03,0.029333333333333333,0.029,0.00047140452079103045,0,8,813056,all_reduce,8,8
100,0.029,0.03,0.029666666666666664,0.03,0.00047140452079103045,0,8,821248,all_reduce,8,8
101,0.029,0.03,0.029333333333333333,0.029,0.0004714045207910305,0,8,829440,all_reduce,8,8
102,0.029,0.03,0.029666666666666664,0.03,0.00047140452079103045,0,8,837632,all_reduce,8,8
103,0.029,0.03,0.029666666666666664,0.03,0.00047140452079103045,0,8,845824,all_reduce,8,8
104,0.029,0.03,0.029333333333333333,0.029,0.0004714045207910305,0,8,854016,all_reduce,8,8
105,0.029,0.03,0.029666666666666664,0.03,0.00047140452079103045,0,8,862208,all_reduce,8,8
106,0.029,0.03,0.029666666666666664,0.03,0.00047140452079103045,0,8,870400,all_reduce,8,8
107,0.029,0.03,0.029333333333333333,0.029,0.0004714045207910305,0,8,878592,all_reduce,8,8
108,0.03,0.031,0.030666666666666665,0.031,0.00047140452079103207,0,8,886784,all_reduce,8,8
109,0.029,0.03,0.029333333333333333,0.029,0.00047140452079103045,0,8,894976,all_reduce,8,8
110,0.029,0.035,0.03266666666666667,0.034,0.002624669291337271,0,8,903168,all_reduce,8,8
111,0.03,0.03,0.03,0.03,0.0,0,8,911360,all_reduce,8,8
112,0.03,0.032,0.031,0.031,0.0008164965809277268,0,8,919552,all_reduce,8,8
113,0.03,0.031,0.030333333333333334,0.03,0.00047140452079103207,0,8,927744,all_reduce,8,8
114,0.03,0.031,0.030333333333333334,0.03,0.00047140452079103207,0,8,935936,all_reduce,8,8
115,0.03,0.032,0.031,0.031,0.0008164965809277268,0,8,944128,all_reduce,8,8
116,0.031,0.031,0.031,0.031,0.0,0,8,952320,all_reduce,8,8
117,0.031,0.031,0.031,0.031,0.0,0,8,960512,all_reduce,8,8
118,0.03,0.031,0.030666666666666665,0.031,0.00047140452079103207,0,8,968704,all_reduce,8,8
119,0.031,0.032,0.03133333333333333,0.031,0.00047140452079103207,0,8,976896,all_reduce,8,8
120,0.031,0.032,0.03166666666666667,0.032,0.00047140452079103207,0,8,985088,all_reduce,8,8
121,0.035,0.037,0.036000000000000004,0.036000000000000004,0.0008164965809277239,0,8,993280,all_reduce,8,8
122,0.032,0.036000000000000004,0.03333333333333333,0.032,0.0018856180831641283,0,8,1001472,all_reduce,8,8
123,0.032,0.035,0.033,0.032,0.0014142135623730963,0,8,1009664,all_reduce,8,8
124,0.03,0.032,0.03133333333333333,0.032,0.0009428090415820641,0,8,1017856,all_reduce,8,8
125,0.031,0.032,0.03133333333333333,0.031,0.00047140452079103207,0,8,1026048,all_reduce,8,8
126,0.031,0.031,0.031,0.031,0.0,0,8,1034240,all_reduce,8,8
127,0.031,0.032,0.03166666666666667,0.032,0.00047140452079103207,0,8,1042432,all_reduce,8,8
128,0.032,0.032,0.032,0.032,0.0,0,8,1048576,all_reduce,8,8
